booking_id,booking_date,travel_date,customer_id,cust_segment,tour_type,channel,payment_method,destination,pax,base_price_vnd,discount_rate,booking_status,revenue_vnd,satisfaction,is_returning,DateAnomaly
B00990,2025-09-04,2025-11-25,C0006,Corporate,Beach,Website,Cash,Huế,2,3988000.0,0.152,Completed,6764000.0,3.9,True,False
B01469,2022-05-01,2022-05-22,C0007,Family,Cultural,Mobile App,Cash,Huế,1,2220000.0,0.114966090636514,Completed,1965000.0,4.3,True,False
B02057,2023-01-15,2023-03-19,C0007,Student,Family,Website,Bank Transfer,Phú Quốc,1,3611000.0,0.1412238401432982,Completed,3101000.0,3.7,True,False
B00864,2024-05-04,2024-07-03,C0007,Family,City Break,Website,E-wallet,Huế,1,2130000.0,0.093,Completed,1932000.0,4.4,False,False
B02823,2023-12-09,2024-03-05,C0008,Corporate,Foodie,Agent,Card,Đà Lạt,3,2392000.0,0.0833144041169338,Completed,6578000.0,3.5,True,False
B00265,2024-07-09,2024-10-01,C0008,Family,City Break,Agent,Bank Transfer,Nha Trang,2,2061000.0,0.064,Completed,3858000.0,4.9,False,False
B00618,2024-10-10,2024-11-10,C0008,Family,Cultural,Mobile App,Card,Sa Pa,3,1723000.0,0.128,Completed,4507000.0,3.9,True,False
B00877,2025-02-06,2025-04-07,C0008,Family,Beach,Call Center,Bank Transfer,Huế,3,3645000.0,0.122,Completed,9601000.0,5.0,True,False
B01758,2022-08-25,2022-10-13,C0009,Family,Cultural,,Bank Transfer,Đà Lạt,2,2623000.0,0.0979012983436776,Completed,4732000.0,3.7,True,False
B02228,2023-03-31,2023-05-16,C0009,Family,City Break,Mobile App,Card,Phú Quốc,1,2172000.0,0.0848476480633967,Completed,1988000.0,4.4,True,False
B02552,2023-08-20,2023-09-28,C0009,Young Professional,Cultural,Website,Cash,Sa Pa,1,2265000.0,0.1559430671003879,Completed,1912000.0,4.6,True,False
B03118,2024-04-17,2024-05-27,C0009,Young Professional,Beach,Mobile App,Cash,Đà Nẵng,1,4327000.0,0.0873354731709077,Completed,3949000.0,5.0,True,False
B00548,2024-07-21,2024-08-25,C0009,Student,Family,Website,Card,TP.HCM,4,3998000.0,0.058,Completed,15064000.0,4.1,False,False
B01583,2022-06-20,2022-07-04,C0010,Young Professional,Family,Mobile App,Card,Sa Pa,2,3581000.0,0.1142494470171242,Completed,6344000.0,4.6,True,False
B00564,2024-07-19,2024-09-12,C0010,Young Professional,Cultural,Website,Card,Nha Trang,1,3633000.0,0.12,Completed,3197000.0,4.8,True,False
B00069,2024-08-19,2024-09-20,C0010,Young Professional,Beach,Website,Cash,Hội An,2,4156000.0,0.059,Completed,7822000.0,4.2,True,False
B00707,2025-03-04,2025-04-01,C0010,Young Professional,Family,Website,Bank Transfer,Hội An,4,2733000.0,0.129,Completed,9522000.0,4.5,True,False
B00822,2025-01-15,2025-04-10,C0010,Young Professional,Foodie,Mobile App,Card,Phú Quốc,3,2188000.0,0.031,Completed,6361000.0,4.0,True,False
B00836,2025-09-04,2025-10-25,C0010,Young Professional,Adventure,Mobile App,Cash,Hội An,2,3542000.0,0.13,Completed,6163000.0,3.2,True,False
B01227,2022-01-13,2022-03-16,C0011,Family,Family,Website,Cash,Nha Trang,2,3440000.0,0.1102167423559875,Completed,6122000.0,4.1,True,False
B01822,2022-09-21,2022-11-21,C0011,Corporate,Cultural,Website,E-wallet,Hạ Long,4,2592000.0,0.0816397193186977,Completed,9522000.0,3.7,True,False
B02377,2023-06-05,2023-07-24,C0011,Family,Beach,Agent,Bank Transfer,Huế,2,3939000.0,0.1408112333135704,Completed,6769000.0,4.5,True,False
B03167,2024-05-06,2024-06-21,C0011,Young Professional,Cultural,Agent,Card,Sa Pa,1,2476000.0,,Completed,2254000.0,4.3,True,False
B03242,2024-06-07,2024-06-21,C0011,Young Professional,Cultural,Agent,Card,Hà Nội,2,2903000.0,0.0673766879979732,Completed,5415000.0,4.5,True,False
B03726,2024-12-25,2025-02-18,C0011,Young Professional,Cultural,Mobile App,,Hạ Long,2,2816000.0,0.0887721588004859,Completed,5132000.0,3.3,True,False
B01020,2025-04-02,2025-05-04,C0011,Young Professional,Cultural,Website,Card,Phú Quốc,1,2829000.0,0.091,Completed,2572000.0,3.6,True,False
B00757,2025-02-14,2025-05-05,C0011,Young Professional,Family,Website,Card,Sa Pa,5,3396000.0,0.099,Completed,15299000.0,3.5,False,False
B03900,2025-03-20,2025-05-31,C0011,Family,Family,Agent,Bank Transfer,Hội An,5,2666000.0,0.1492227450771076,Completed,11341000.0,5.0,True,False
B00202,2025-06-17,2025-08-19,C0011,Young Professional,Beach,Agent,Card,Hội An,2,4262000.0,0.0,Completed,8524000.0,3.5,True,False
B01866,2022-10-14,2022-11-18,C0012,Family,City Break,Website,Cash,Huế,4,2019000.0,0.0842070251722897,Completed,7396000.0,4.5,True,False
B00246,2025-06-06,2025-08-22,C0012,Corporate,Family,Agent,Card,Huế,4,3515000.0,0.12,Completed,12373000.0,5.0,False,False
B01207,2022-01-03,2022-02-02,C0013,Family,Cultural,Agent,Card,Phú Quốc,1,2787000.0,0.1145306895299056,Completed,2468000.0,4.1,True,False
B01882,2022-10-24,2023-01-08,C0013,Family,Cultural,Agent,Card,Hà Nội,3,2609000.0,0.0844076017789346,Completed,7166000.0,4.3,True,False
B00297,2025-03-27,2025-05-12,C0013,Family,Beach,Website,Card,Hạ Long,1,3635000.0,0.01,Completed,3599000.0,5.0,False,False
B00218,2025-04-26,2025-06-27,C0013,Family,Family,Mobile App,Card,Nha Trang,5,4131000.0,0.136,Completed,17846000.0,4.4,True,False
B01415,2022-04-11,2022-05-28,C0014,Family,Beach,Website,Bank Transfer,Hội An,1,3879000.0,0.1505249658897009,Completed,3295000.0,4.0,True,False
B01879,2022-10-23,2022-12-26,C0014,Corporate,Cultural,Agent,Card,Phú Quốc,2,2671000.0,0.1272479959920558,Completed,4662000.0,4.2,True,False
B01035,2024-09-11,2024-11-07,C0014,Family,Beach,Mobile App,Card,Nha Trang,2,3219000.0,0.073,Completed,5968000.0,5.0,False,False
B00796,2024-11-30,2025-01-23,C0014,Family,Family,Agent,Bank Transfer,Hội An,3,2004000.0,0.062,Completed,5639000.0,4.3,True,False
B00920,2024-12-27,2025-02-13,C0014,Family,Cultural,Mobile App,Card,TP.HCM,1,2238000.0,0.219,Completed,1748000.0,4.1,True,False
B01004,2025-06-10,2025-08-01,C0014,Family,Family,Agent,Bank Transfer,Hạ Long,2,3215000.0,0.083,Completed,5896000.0,4.3,True,False
B01273,2022-02-01,2022-05-24,C0015,Corporate,Family,Mobile App,Card,Hà Nội,2,3077000.0,0.0485737443380621,Completed,5855000.0,4.3,True,False
B03124,2024-04-19,2024-06-10,C0015,Young Professional,Cultural,Mobile App,Card,Sa Pa,2,2806000.0,0.1349827607088391,Completed,4854000.0,4.1,True,False
B01064,2024-06-03,2024-07-18,C0015,Young Professional,Beach,Website,Cash,Sa Pa,1,4829000.0,0.043,Completed,4621000.0,3.3,False,False
B00080,2025-01-31,2025-04-07,C0015,Young Professional,Family,Mobile App,Bank Transfer,Đà Nẵng,3,3384000.0,0.102,Completed,9116000.0,3.9,True,False
B00763,2025-05-29,2025-08-27,C0015,Young Professional,Beach,Website,Card,Sa Pa,1,4058000.0,0.04,Completed,3896000.0,4.8,True,False
B03048,2024-03-17,2024-03-23,C0016,Corporate,Family,Agent,Card,Hà Nội,2,3104000.0,0.0948996410051693,Completed,5619000.0,4.9,True,False
B00515,2024-05-16,2024-08-13,C0016,Young Professional,Cultural,Website,Card,Đà Nẵng,3,3912000.0,0.003,Completed,11701000.0,4.4,False,False
B00393,2025-08-27,2025-09-19,C0016,Young Professional,Adventure,Agent,Card,Phú Quốc,2,6369000.0,0.195,Completed,10254000.0,4.7,True,False
B00954,2024-06-22,2024-09-09,C0017,Family,Foodie,Mobile App,Bank Transfer,Hà Nội,2,2483000.0,0.097,Completed,4484000.0,4.3,True,False
B03866,2025-03-02,2025-03-29,C0017,Family,Family,Website,Cash,Phú Quốc,2,3416000.0,0.0533476927989858,Completed,6468000.0,4.1,True,False
B01402,2022-04-05,2022-05-11,C0018,,Cultural,Agent,Card,Hội An,5,2738000.0,0.0926529083513462,Completed,12422000.0,3.3,True,False
B00640,2024-09-16,2024-10-26,C0018,Student,Adventure,Website,Card,Hạ Long,1,3523000.0,0.085,Completed,3224000.0,3.9,False,False
B00949,2024-10-21,2025-01-12,C0018,Student,Beach,Website,Bank Transfer,Huế,2,3451000.0,0.095,Completed,6246000.0,5.0,True,False
B01080,2024-11-26,2025-02-14,C0018,Student,Beach,Website,Card,Đà Lạt,2,-100000.0,0.127,Completed,5908000.0,4.1,True,False
B03959,2025-04-20,2025-06-11,C0018,Family,Family,Mobile App,Card,Phú Quốc,1,3538000.0,0.09363024447842,Completed,3207000.0,3.5,True,False
B00852,2025-07-08,2025-09-02,C0018,Student,Foodie,Website,Card,Hội An,2,1966000.0,0.104,Completed,3523000.0,3.9,True,False
B02703,2023-10-22,2023-11-19,C0019,Corporate,Beach,Website,Card,Hạ Long,2,3948000.0,0.1268486637505326,Completed,6894000.0,3.5,True,False
B01029,2024-01-19,2024-02-10,C0019,Family,City Break,Agent,Card,Nha Trang,3,1768000.0,0.085,Completed,4853000.0,4.4,False,False
B00782,2024-01-03,2024-03-20,C0020,Family,Adventure,Website,Bank Transfer,Phú Quốc,1,5030000.0,0.126,Completed,4396000.0,5.0,False,False
B00612,2024-01-26,2024-04-16,C0020,Family,Adventure,Mobile App,Card,Hạ Long,1,4691000.0,0.138,Completed,4044000.0,4.9,True,False
B03697,2024-12-13,2025-02-22,C0020,Family,Cultural,Mobile App,E-wallet,Hà Nội,1,2947000.0,0.1564526456343821,Completed,2486000.0,3.8,True,False
B00123,2025-06-07,2025-07-19,C0020,Family,Family,Mobile App,Card,Nha Trang,5,3681000.0,0.0,Completed,18405000.0,4.4,True,False
B00631,2025-07-13,2025-09-25,C0020,Family,Cultural,Mobile App,Bank Transfer,Nha Trang,2,3396000.0,0.081,Completed,6242000.0,3.9,True,False
B00887,2025-08-14,2025-10-12,C0020,Family,Cultural,Agent,Card,TP.HCM,4,1566000.0,0.134,Completed,5425000.0,4.2,True,False
B01414,2022-04-11,2022-06-09,C0021,Family,Beach,Website,Card,TP.HCM,5,3835000.0,0.0650146934597122,Completed,17928000.0,3.9,True,False
B01593,2022-06-24,2022-08-07,C0021,Family,City Break,Mobile App,Card,Sa Pa,4,2305000.0,0.0869786734732977,Completed,8418000.0,4.9,True,False
B01107,2024-04-07,2024-06-08,C0021,Family,Cultural,Website,Bank Transfer,Hội An,2,3186000.0,0.036,Completed,6143000.0,3.9,False,False
B01089,2024-04-23,2024-06-12,C0021,Family,Adventure,Website,E-wallet,Phú Quốc,1,5389000.0,0.065,Completed,5039000.0,3.9,True,False
B03332,2024-07-13,2024-08-09,C0021,Student,City Break,Agent,Card,Đà Nẵng,3,2732000.0,0.1032815181067134,Completed,7350000.0,3.3,True,False
B00098,2024-04-02,2024-04-13,C0022,Young Professional,Family,Mobile App,Card,Đà Nẵng,4,3454000.0,0.126,Completed,12075000.0,4.0,False,False
B01101,2024-04-12,2024-05-31,C0022,Young Professional,Beach,Website,Card,Đà Lạt,1,3702000.0,0.089,Completed,3373000.0,3.8,True,False
B00880,2024-11-18,2024-12-28,C0022,Young Professional,Beach,Website,Cash,Huế,2,4460000.0,0.0,Completed,8920000.0,5.0,True,False
B00377,2024-11-11,2025-01-10,C0022,Young Professional,Beach,Website,Card,Hạ Long,2,4287000.0,0.138,Completed,7391000.0,3.9,True,False
B00224,2025-03-15,2025-05-05,C0022,Young Professional,Adventure,Website,Card,Hội An,2,3118000.0,0.089,Completed,5681000.0,4.8,True,False
B02848,2023-12-21,2024-03-01,C0024,Family,Beach,Mobile App,Cash,Đà Lạt,1,2998000.0,0.1021134000237667,Completed,2692000.0,4.7,True,False
B00560,2024-07-05,2024-08-15,C0024,Corporate,Beach,Agent,Cash,Đà Lạt,1,2972000.0,0.134,Completed,2574000.0,4.1,False,False
B00212,2024-08-15,2024-10-08,C0024,Corporate,Family,Website,Card,Hội An,5,3462000.0,0.139,Completed,14904000.0,3.5,True,False
B00117,2024-09-06,2024-10-21,C0024,Corporate,City Break,Mobile App,Cash,Sa Pa,2,1850000.0,0.097,Completed,3341000.0,4.6,True,False
B00945,2025-03-29,2025-06-05,C0024,Corporate,Family,Agent,Card,Huế,5,3312000.0,0.024,Completed,16163000.0,4.9,True,False
B00541,2025-09-02,2025-10-13,C0024,Corporate,Family,Mobile App,Card,Đà Lạt,3,3098000.0,0.112,Completed,8253000.0,3.9,True,False
B01290,2022-02-07,2022-03-14,C0025,Corporate,Foodie,Agent,Card,Đà Nẵng,2,2521000.0,0.0737966264874978,Completed,4670000.0,3.8,True,False
B01381,2022-03-25,2022-04-28,C0025,Student,Family,Website,Bank Transfer,Hà Nội,1,3568000.0,0.0,Completed,3568000.0,5.0,True,False
B01667,2022-07-26,2022-08-19,C0025,Family,City Break,,E-wallet,Đà Lạt,4,2346000.0,0.1027006054018832,Completed,8420000.0,4.3,True,False
B01148,2024-05-12,2024-06-23,C0025,Family,Family,Agent,Cash,Đà Lạt,4,3551000.0,0.073,Completed,13167000.0,4.1,False,False
B00269,2025-08-09,2025-09-12,C0025,Family,Beach,Website,Card,Sa Pa,1,4142000.0,0.113,Completed,3674000.0,4.8,True,False
B00261,2024-10-25,2024-11-25,C0026,Student,Adventure,Agent,Card,Phú Quốc,1,5456000.0,0.134,Completed,4725000.0,4.5,False,False
B00679,2024-11-04,2024-12-30,C0026,Student,Family,Agent,Cash,Hạ Long,3,2499000.0,0.073,Completed,6950000.0,4.1,True,False
B00293,2025-05-09,2025-06-09,C0026,Student,Beach,Mobile App,Cash,Hạ Long,1,3887000.0,0.025,Completed,3790000.0,4.4,True,False
B01978,2022-12-14,2023-02-14,C0028,Student,Beach,Mobile App,Card,Huế,3,3784000.0,0.086860844733232,Completed,10366000.0,4.5,True,False
B02405,2023-06-18,2023-08-20,C0028,Corporate,Beach,Website,Bank Transfer,Sa Pa,4,3964000.0,0.1602043100842875,Completed,13316000.0,3.8,True,False
B03734,2024-12-29,2025-02-20,C0028,Student,Beach,Website,Card,Hạ Long,1,4700000.0,0.1508793179915646,Completed,3991000.0,4.1,True,False
B00558,2025-02-11,2025-04-20,C0028,Student,Adventure,Website,Bank Transfer,Đà Nẵng,1,4900000.0,0.159,Completed,4121000.0,5.0,False,False
B03855,2025-02-27,2025-06-07,C0028,Family,City Break,Website,Cash,Đà Nẵng,1,2689000.0,0.1540368435649434,Completed,2275000.0,4.6,True,False
B01051,2024-04-25,2024-06-01,C0029,Student,Foodie,Agent,Cash,Hà Nội,1,1741000.0,0.12,Completed,1532000.0,5.0,False,False
B03178,2024-05-11,2024-06-09,C0029,Family,Cultural,Agent,Card,Hà Nội,2,2906000.0,0.1335113633861724,Completed,5036000.0,3.9,True,False
B01037,2024-05-25,2024-06-12,C0029,Student,Beach,Agent,Card,Nha Trang,1,5382000.0,0.096,Completed,4865000.0,3.9,True,False
B03605,2024-10-30,2024-12-08,C0029,Family,Beach,Mobile App,Card,Hội An,3,4308000.0,0.1235609562401929,Completed,11327000.0,4.4,True,False
B00677,2024-10-27,2024-12-11,C0029,Student,Foodie,Website,Card,Hà Nội,1,2237000.0,0.162,Completed,1875000.0,4.2,True,False
B01154,2025-02-02,2025-02-27,C0029,Student,Beach,Website,E-wallet,TP.HCM,2,2762000.0,0.0,Completed,5524000.0,4.1,True,False
B00321,2024-12-29,2025-03-01,C0029,Student,Adventure,Agent,E-wallet,Phú Quốc,3,5653000.0,0.193,Completed,13686000.0,3.8,True,False
B01638,2022-07-12,2022-08-22,C0030,Family,Beach,Website,Card,Sa Pa,1,4162000.0,0.1426877303588742,Completed,3568000.0,4.0,True,False
B02110,2023-02-04,2023-03-22,C0030,Corporate,Beach,,Cash,Đà Lạt,1,3162000.0,0.0772123861560818,Completed,2918000.0,3.3,True,False
B02762,2023-11-18,2024-01-20,C0030,Family,Adventure,Mobile App,Card,Phú Quốc,2,5264000.0,0.0926092924205201,Completed,9553000.0,3.8,True,False
B00748,2024-02-18,2024-03-03,C0030,Family,Cultural,Website,Card,Phú Quốc,1,2447000.0,0.021,Completed,2396000.0,3.7,False,False
B00171,2024-06-16,2024-08-21,C0030,Family,Adventure,Mobile App,Bank Transfer,Phú Quốc,2,4966000.0,0.01,Completed,9833000.0,3.7,True,False
B01159,2024-06-23,2024-09-20,C0030,Family,Adventure,Agent,Card,Đà Nẵng,3,5983000.0,0.192,Completed,14503000.0,4.1,True,False
B00292,2025-02-21,2025-05-11,C0030,Family,Cultural,Agent,Card,Đà Nẵng,2,3031000.0,0.149,Completed,5159000.0,3.4,True,False
B01963,2022-12-06,2022-12-17,C0031,Student,Beach,Website,E-wallet,Nha Trang,2,4927000.0,0.0864474510727595,Completed,9002000.0,3.2,True,False
B03420,2024-08-14,2024-10-15,C0031,Corporate,Cultural,Website,Cash,TP.HCM,1,2326000.0,0.1384398649670674,Completed,2004000.0,4.7,True,False
B00991,2024-08-09,2024-10-17,C0031,Family,Cultural,Website,Bank Transfer,Hội An,1,3255000.0,0.104,Completed,2916000.0,5.0,False,False
B00095,2024-10-02,2024-11-16,C0031,Family,Cultural,Website,Card,Nha Trang,2,3811000.0,0.148,Completed,6494000.0,5.0,True,False
B00412,2024-09-13,2024-12-04,C0031,Family,Adventure,Website,Bank Transfer,Đà Nẵng,1,3709000.0,-0.2,Completed,3438000.0,4.5,True,False
B00037,2024-12-02,2025-01-18,C0031,Family,Foodie,Website,Card,Nha Trang,1,1739000.0,0.186,Completed,1416000.0,4.7,True,False
B00576,2025-05-03,2025-07-06,C0031,Family,Beach,Website,Card,Đà Lạt,3,5470000.0,0.045,Completed,15672000.0,3.7,True,False
B02219,2023-03-25,2023-06-17,C0032,Young Professional,Family,Website,Cash,TP.HCM,2,3376000.0,0.0834394825658333,Completed,6189000.0,4.3,True,False
B00692,2024-01-06,2024-02-27,C0032,Corporate,Beach,Agent,Card,Phú Quốc,2,3950000.0,0.047,Completed,7529000.0,4.0,False,False
B00296,2024-02-06,2024-03-30,C0032,Corporate,City Break,Mobile App,Card,Đà Lạt,2,-100000.0,0.162,Completed,2774000.0,4.5,True,False
B00374,2025-06-24,2025-08-21,C0032,Corporate,Beach,Website,Card,Hà Nội,2,4741000.0,0.092,Completed,8610000.0,3.8,True,False
B02565,2023-08-25,2023-09-25,C0033,Family,Cultural,Call Center,Card,Hội An,3,2715000.0,0.0383466799752006,Completed,7833000.0,4.2,True,False
B00340,2024-01-16,2024-03-18,C0033,Young Professional,Beach,Agent,Card,Nha Trang,2,5753000.0,0.11,Completed,10240000.0,4.1,False,False
B03297,2024-06-28,2024-09-02,C0033,Student,Family,Mobile App,Bank Transfer,Hội An,1,2626000.0,0.144715286040752,Completed,2246000.0,3.7,True,False
B00676,2025-08-02,2025-09-18,C0033,Young Professional,Beach,Website,Card,Đà Nẵng,1,4383000.0,0.12,Completed,3857000.0,3.9,True,False
B00865,2025-07-27,2025-09-27,C0033,Young Professional,Family,Mobile App,Card,Phú Quốc,4,3337000.0,0.064,Completed,12494000.0,3.9,True,False
B01548,2022-06-07,2022-08-13,C0034,Young Professional,Family,Website,Cash,Đà Nẵng,2,3732000.0,0.0634987753536675,Completed,6990000.0,3.9,True,False
B00519,2024-03-05,2024-03-17,C0034,Young Professional,Family,Mobile App,E-wallet,Đà Lạt,2,2583000.0,0.095,Completed,4675000.0,4.1,False,False
B03117,2024-04-16,2024-06-02,C0034,Family,Cultural,Mobile App,Card,Nha Trang,2,2999000.0,0.1608211046000054,Completed,5033000.0,4.6,True,False
B02256,2023-04-12,2023-05-28,C0035,Family,Family,Website,Card,Hội An,2,2451000.0,0.0142160973075391,Completed,4832000.0,4.3,True,False
B00647,2024-04-11,2024-05-10,C0035,Young Professional,Cultural,Website,Bank Transfer,Hạ Long,1,1834000.0,0.2,Completed,1467000.0,4.0,False,False
B00399,2024-07-04,2024-09-20,C0035,Young Professional,City Break,Website,Cash,Đà Lạt,1,2203000.0,0.2,Completed,1762000.0,4.1,True,False
B02798,2023-11-30,2024-01-27,C0036,Student,Foodie,Website,Card,TP.HCM,2,2360000.0,0.0921282239142134,Completed,4285000.0,4.5,True,False
B03847,2025-02-22,2025-03-16,C0036,Young Professional,City Break,Website,Bank Transfer,Phú Quốc,2,2104000.0,0.0558408813704483,Completed,3973000.0,3.7,True,False
B00081,2025-06-27,2025-09-07,C0036,Student,Foodie,Website,Card,Phú Quốc,1,3055000.0,0.057,Completed,2881000.0,3.7,False,False
B00303,2025-08-03,2025-09-26,C0036,Student,Cultural,Website,Card,Đà Nẵng,1,3959000.0,0.15,Completed,3365000.0,4.2,True,False
B01309,2022-02-17,2022-02-25,C0037,,Beach,Agent,Bank Transfer,TP.HCM,2,3727000.0,0.0800001326889093,Completed,6858000.0,4.4,True,False
B01239,2022-01-19,2022-03-05,C0037,Family,Adventure,Agent,Card,Hạ Long,2,5779000.0,0.1295750254046321,Completed,10060000.0,3.6,True,False
B02095,2023-01-30,2023-03-27,C0037,Student,Family,Agent,Card,Hạ Long,2,3718000.0,0.0116529266913716,Completed,7349000.0,4.2,True,False
B00041,2024-02-23,2024-05-10,C0037,Student,Family,Agent,Card,Huế,3,2382000.0,0.031,Completed,6924000.0,4.7,False,False
B01192,2024-04-20,2024-05-17,C0037,Student,Beach,Mobile App,Card,Đà Nẵng,1,4364000.0,0.071,Completed,4054000.0,3.6,True,False
B03441,2024-08-23,2024-09-17,C0037,Corporate,City Break,Agent,Card,Phú Quốc,1,2158000.0,0.0993620160758024,Completed,1944000.0,4.1,True,False
B00380,2024-10-01,2024-11-13,C0037,Student,Foodie,Mobile App,Card,Nha Trang,1,2661000.0,0.131,Completed,2312000.0,4.5,True,False
B00295,2025-01-17,2025-03-12,C0037,Student,Cultural,Website,Card,Phú Quốc,3,3276000.0,0.089,Completed,8953000.0,4.6,True,False
B03999,2025-05-05,2025-05-31,C0037,Family,Adventure,Mobile App,Bank Transfer,Sa Pa,2,4751000.0,0.0719409286235876,Completed,8818000.0,3.7,True,False
B01466,2022-04-30,2022-06-26,C0038,Family,Family,Website,Bank Transfer,Hà Nội,4,3507000.0,0.1284832789920913,Completed,12226000.0,4.8,True,False
B01397,2022-04-03,2022-07-04,C0038,,Cultural,Website,Bank Transfer,TP.HCM,1,2742000.0,0.0831524819266694,Completed,2514000.0,4.1,True,False
B01513,2022-05-23,2022-07-07,C0038,Young Professional,Cultural,Website,Card,Đà Lạt,1,2733000.0,0.0950868096144402,Completed,2473000.0,4.8,True,False
B00008,2024-02-02,2024-03-26,C0038,Young Professional,Beach,Agent,E-wallet,Đà Lạt,1,3126000.0,0.111,Completed,2779000.0,3.8,False,False
B00742,2024-05-14,2024-08-07,C0038,Young Professional,Foodie,Website,Bank Transfer,Sa Pa,2,2532000.0,0.122,Completed,4446000.0,4.0,True,False
B01018,2024-12-29,2025-01-19,C0038,Young Professional,Cultural,Agent,Card,Hội An,2,2930000.0,0.076,Completed,5415000.0,4.6,True,False
B00288,2025-02-01,2025-02-24,C0038,Young Professional,Foodie,Website,Card,Huế,3,2780000.0,0.069,Completed,7765000.0,3.8,True,False
B00861,2024-06-14,2024-08-04,C0039,Young Professional,Beach,Website,Cash,Đà Nẵng,4,3297000.0,0.043,Completed,12621000.0,5.0,False,False
B00888,2024-12-21,2025-01-25,C0039,Young Professional,Family,Website,Card,TP.HCM,3,2103000.0,0.119,Completed,5558000.0,4.8,True,False
